Region_ID,State,Mountain_Range,Nearby_River,Wildlife_Sanctuary,Restriction_Type,Dominant_Trees,Key_Animals,Minerals_Present,Elevation_m,Slope_deg,NDVI,Forest_Cover_Percent,Distance_to_River_km,Protected_Area,Existing_Mining,Mining_Allowed,Deforestation_Risk,Water_Pollution_Risk,Air_Pollution_Risk,Annual_Rainfall_mm,Seasonal_Rainfall_Variability,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Seismic_Zone,Population_Density_per_km2,Land_Use_Type,Mining_Employment_Dependency_%,Past_Mining_Accidents,Previous_Hazard_Report,Distance_to_Road_km,Distance_to_Rail_km,Distance_to_Town_km,Road_Connectivity,Rail_Connectivity
R1,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",318,24,0.72,41,5.4,1,0,Yes,Low,High,High,373,0.21,16,26,11,II,1108,Forest,25,4,Medium,13.2,40,68.1,Moderate,Low
R2,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",320,7,0.84,71,5.5,1,0,Yes,Low,Low,Medium,1766,0.64,28,31,21,IV,1223,Agriculture,23,1,Low,6.8,13.6,26.3,Moderate,None
R3,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",655,7,0.46,69,4.5,1,0,Yes,Very High,Low,Medium,2829,1,30,33,27,IV,611,Agriculture,24,2,High,3.8,17.2,104.1,Moderate,None
R4,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",179,19,0.29,84,0.8,1,0,No,Medium,High,Low,864,1.36,35,41,29,II,272,Agriculture,5,0,High,12.1,28.3,33,Moderate,Low
R5,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",200,20,0.44,61,5.4,1,0,No,High,Low,High,1490,0.38,22,25,17,IV,953,Urban,15,0,Low,10.9,6.7,81.8,Moderate,Low
R6,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",397,4,0.45,56,0.4,1,0,Yes,Very High,High,Low,1946,0.58,17,27,9,II,1226,Forest,17,3,Medium,17.5,24.3,31.2,Moderate,Low
R7,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",336,25,0.82,16,3.6,1,1,Yes,High,High,High,3059,0.95,28,37,25,II,611,Agriculture,51,4,Medium,9.4,1.5,49.3,Poor,Low
R8,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",602,10,0.67,40,5.3,1,0,Yes,High,High,Low,3202,0.75,18,21,10,IV,631,Forest,23,2,High,9.5,15.5,73,Moderate,Low
R9,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",321,17,0.65,35,2.2,1,1,Yes,High,High,High,3289,0.28,17,20,12,III,658,Urban,67,2,Medium,19.8,8.4,20.2,Moderate,High
R10,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",252,13,0.52,52,3.6,1,0,Yes,High,High,Low,1713,0.72,18,25,15,III,133,Agriculture,9,2,Low,7.1,31.2,55.1,Moderate,None
R11,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",724,12,0.5,67,2.4,1,0,Yes,Very High,High,Low,839,0.89,33,38,25,IV,892,Mixed,25,0,Medium,11.4,27.1,45.6,Good,None
R12,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",279,24,0.34,70,5.8,1,0,No,Very High,Low,Low,752,0.51,33,40,29,V,764,Forest,16,3,Low,11,33.6,25.1,Good,Low
R13,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",539,16,0.74,31,4.6,1,1,Yes,High,High,Low,2880,0.52,32,35,24,III,1268,Agriculture,67,0,Medium,7.6,1.5,149.5,Good,Low
R14,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",609,13,0.38,42,2.9,1,1,Yes,Very High,Low,High,2854,0.48,18,22,14,III,770,Agriculture,70,0,Low,10.3,15.6,37.1,Moderate,Low
R15,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",781,29,0.54,69,4.6,1,0,No,High,Medium,Medium,1724,0.38,30,35,25,II,1234,Urban,21,0,Medium,17.2,55,47,Good,Medium
R16,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",582,14,0.57,83,3.7,1,1,Yes,Low,Medium,Medium,3294,0.45,25,34,17,IV,723,Forest,47,1,High,16.8,16.7,72.2,Good,Low
R17,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",569,17,0.55,32,3.9,1,0,Yes,Low,Medium,Medium,2636,0.22,27,34,22,III,343,Agriculture,17,0,Low,14.7,39.3,99.7,Moderate,Low
R18,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",802,5,0.76,16,3.4,1,1,Yes,Medium,Low,Medium,3398,1.33,28,33,20,II,1194,Agriculture,48,0,Medium,1.3,31.5,124.6,Poor,Medium
R19,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",256,6,0.73,40,3.6,1,0,Yes,Medium,Medium,Medium,2487,0.68,33,39,29,II,508,Forest,18,0,Very High,1.8,13.8,52.8,Poor,Low
R20,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",548,22,0.86,20,3.4,1,0,Yes,High,Medium,Low,1927,1.36,22,32,14,III,883,Agriculture,23,1,High,6.7,57.5,66.3,Good,Low
R21,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",239,16,0.64,59,3.3,1,1,No,High,Low,Medium,2950,0.83,30,33,23,II,81,Agriculture,58,0,Low,8.2,22.9,119.6,Moderate,Medium
R22,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",256,19,0.73,44,0.9,1,0,Yes,Low,Low,Medium,2627,1.47,32,42,25,V,1358,Agriculture,25,3,Very High,18.5,50.6,60.4,Poor,None
R23,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",666,25,0.73,31,0.5,1,0,Yes,High,High,Low,584,1.25,18,25,11,II,1382,Mixed,15,1,High,9.2,40,53.2,Moderate,Low
R24,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",155,22,0.87,50,1.3,1,0,Yes,Low,Low,Low,2695,1.42,25,32,22,II,438,Agriculture,12,1,High,1,7.2,107.2,Good,Medium
R25,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",875,5,0.49,66,2.9,1,0,Yes,High,High,High,1653,1.14,25,31,17,III,1089,Urban,24,1,Low,10.7,31.2,19,Good,None
R26,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",204,21,0.4,46,1.6,1,0,Yes,Very High,Low,Low,789,0.32,23,29,17,II,579,Urban,24,1,High,19.7,33.7,110.6,Excellent,Low
R27,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",840,27,0.86,52,5.7,1,0,No,Very High,Medium,Low,452,1.38,29,38,21,II,627,Urban,18,3,Medium,12.8,38.4,66.1,Good,High
R28,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",734,10,0.56,45,1.1,1,1,Yes,Medium,Medium,High,2024,1.07,25,29,18,II,649,Urban,64,1,High,17.2,16.2,119.2,Excellent,None
R29,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",159,11,0.52,84,3.6,1,0,Yes,High,High,Medium,1811,0.28,33,43,27,II,1399,Forest,23,4,Medium,8.5,49.3,120.3,Good,Low
R30,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",152,4,0.59,15,6.5,1,1,Yes,High,High,Low,554,0.51,31,38,23,II,1112,Forest,65,2,Low,9,46.6,127.6,Moderate,Low
R31,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",526,15,0.55,29,2.5,1,0,Yes,Medium,High,Medium,1906,0.66,27,35,20,II,835,Agriculture,8,0,Low,6.1,45.4,29.5,Moderate,Medium
R32,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",821,8,0.4,71,6.3,1,0,Yes,Very High,High,Medium,1298,1.14,28,33,25,IV,385,Mixed,14,4,High,19.9,45.1,36.1,Good,None
R33,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",541,28,0.38,81,3.4,1,1,No,Medium,Medium,Medium,1541,0.56,26,31,18,II,574,Urban,35,3,Very High,15.2,3.9,53.8,Good,Low
R34,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",567,28,0.45,17,6.3,1,1,Yes,Medium,High,Medium,1241,1.13,24,34,19,III,1069,Forest,38,0,High,18.7,4.5,132,Moderate,Low
R35,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",569,15,0.73,53,4.9,1,0,Yes,Low,High,High,3158,1.24,16,19,11,II,383,Forest,19,0,High,14.2,26.6,143.6,Good,None
R36,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",424,6,0.31,27,3.1,1,0,Yes,High,High,Medium,3265,0.29,25,30,17,II,1126,Mixed,11,0,Medium,2.6,53.5,80.4,Poor,None
R37,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",391,12,0.46,19,4.3,1,1,Yes,Very High,High,High,2494,1.24,27,35,20,IV,1230,Agriculture,59,0,High,6,33.5,142.3,Good,High
R38,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",893,29,0.73,41,4.5,1,0,Yes,High,High,High,1627,0.73,25,32,20,III,1319,Agriculture,22,3,Medium,15.6,49.9,65.6,Poor,None
R39,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",208,22,0.47,29,2.1,1,0,Yes,High,Medium,Medium,2828,0.8,15,21,9,II,767,Forest,8,0,Very High,4.2,42.7,106.1,Poor,Low
R40,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",383,8,0.44,28,0.6,1,1,Yes,Medium,Low,Low,3373,0.33,17,24,13,II,1375,Forest,53,3,Medium,1.8,44.4,89.2,Moderate,Low
R41,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",255,7,0.54,58,3.7,1,1,Yes,High,Medium,High,1222,1.46,31,36,23,II,771,Urban,45,0,Low,9.2,45,55.7,Moderate,Medium
R42,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",126,17,0.28,62,6.4,1,1,No,Very High,High,Low,363,1.01,24,27,18,II,293,Forest,31,1,High,2.3,32.7,63,Good,Low
R43,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",870,24,0.31,56,1.2,1,0,No,Very High,High,High,2475,0.89,23,32,18,IV,612,Agriculture,6,2,Medium,15.9,21.5,111.5,Moderate,Low
